"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_FINAL_HEADING","Good job! All done","Heading in newsletter step","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done","Good job! All done"
"TR_FINAL_SUBHEADING","Now you are ready to enjoy bleeding edge security with Trezor.","Subheading in newsletter step","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor.","Now you are ready to enjoy bleeding edge security with Trezor."
"TR_TREZOR_STABLE_WALLET","Trezor stable wallet","Name of application that might be used with Trezor","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet","Trezor stable wallet"
"TR_TREZOR_STABLE_WALLET_DESCRIPTION","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Description of application that might be used with Trezor.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins.","Web wallet with support of Bitcoin, Dash, Zcash and other coins."
"TR_TREZOR_PASSWORD_MANAGER","Trezor Password Manager","Name of application that might be used with Trezor","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager","Trezor Password Manager"
"TR_TREZOR_PASSWORD_MANAGER_DESCRIPTION","A safe way how to manage your credentials with Trezor.","Description of application that might be used with Trezor","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor.","A safe way how to manage your credentials with Trezor."
"TR_TREZOR_ETHEREUM_WALLET","Ethereum beta wallet","Name of application that might be used with Trezor","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet","Ethereum beta wallet"
"TR_TREZOR_ETHEREUM_WALLET_DESCRIPTION","New wallet with support of Ethereum and Ripple","Description of application that might be used with Trezor","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple","New wallet with support of Ethereum and Ripple"
"TR_FIRMWARE_HEADING","Get the latest firmware","Heading on firmware page","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware","Get the latest firmware"
"TR_FIRMWARE_SUBHEADING","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Main text on firmware page for devices without firmware.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning."
"TR_INSTALL","Install","Install button","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install","Install"
"TR_INSTALL_ERROR_OCCURRED","Error occurred during firmware install: {error}","Error message when installing firmware to device","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}","Error occurred during firmware install: {error}"
"TR_FETCH_ERROR_OCCURRED","Error occured during firmware download: {error}","Error message when downloading firmware","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}","Error occured during firmware download: {error}"
"TR_FIRMWARE_INSTALLED","Perfect. The newest firmware is installed. Time to continue","Message to display in case firmware is installed","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue","Perfect. The newest firmware is installed. Time to continue"
"TR_CONNECT_YOUR_DEVICE_AGAIN","Connect your device again","Prompt to connect device.","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again","Connect your device again"
"TR_DISCONNECT_YOUR_DEVICE","Disconnect your device","Prompt to disconnect device.","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device","Disconnect your device"
"TR_WAIT_FOR_REBOOT","Wait for your device to reboot","Info what is happening with users device.","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot","Wait for your device to reboot"
"TR_FIRMWARE_INSTALLED_TEXT","This device has already installed firmware version: {version}","Text to display in case device has firmware installed but it is outdated","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}","This device has already installed firmware version: {version}"
"TR_HOLOGRAM_STEPHEADING","Hologram check","Heading on hologram step page","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check","Hologram check"
"TR_HOLOGRAM_STEP_SUBHEADING","Please make sure hologram protecting your device is authentic","Subheading on hologram step page","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic","Please make sure hologram protecting your device is authentic"
"TR_HOLOGRAM_STEP_ACTION_OK","My hologram is OK","Button to click in allright case","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK","My hologram is OK"
"TR_HOLOGRAM_STEP_ACTION_NOT_OK","My hologram looks different","Button to click when hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different","My hologram looks different"
"TR_RESELLERS_LINK","a trusted reseller","Part of sentence. Link to page with trusted resellers list","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller","a trusted reseller"
"TR_CONTACT_OUR_SUPPORT_LINK","contact our support","Part of sentence. Link to support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support","contact our support"
