"key","source","context","cs","en","fr","de","ru","es-ES"
"TR_DEVICE_DISCONNECTED_DURING_ACTION_DESCRIPTION","You device disconnected during action which resulted in interuption of backup process. For security reasons you need to wipe your device now and start the backup process again.","Error message. Instruction what to do.","","","","","",""
"TR_DEVICE_FIRMWARE_VERSION","Device firmware: {firmware}.","Display firmware of device","","","","","",""
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_BUTTON","Continue","","","","","","",""
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_HEADING","Device is used in other window","","","","","","",""
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_TEXT","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","","","","","","",""
"TR_DEVICE_LABEL","Device label: {label}.","Display label of device","","","","","",""
"TR_DEVICE_LABEL_IS_DISCONNECTED","Device {deviceLabel} is disconnected","","","","","","",""
"TR_DEVICE_LABEL_IS_NOT_BACKED_UP","Device {deviceLabel} is not backed up","","","","","","",""
"TR_DEVICE_LABEL_IS_NOT_CONNECTED","Device {deviceLabel} is not connected","","","","","","",""
"TR_DEVICE_LABEL_IS_UNAVAILABLE","Device ""{deviceLabel}"" is unavailable","","","","","","",""
"TR_DEVICE_NEEDS_ATTENTION","Device needs attention","","","","","","",""
"TR_DEVICE_NOT_RECOGNIZED_TRY_INSTALLING","Device not recognized? Try installing the {link}.","","","","","","",""
"TR_DEVICE_SETTINGS","Device settings","","","","","","",""
"TR_DEVICE_SETTINGS_BUTTON_WIPE_DEVICE","Wipe device","","","","","","",""
"TR_DEVICE_SETTINGS_DEVICE_EDIT_LABEL","Edit Label","","","","","","",""
"TR_DEVICE_SETTINGS_DEVICE_LABEL","Device Label","","","","","","",""
"TR_DEVICE_SETTINGS_DISPLAY_ROTATION","Display rotation","","","","","","",""
"TR_DEVICE_SETTINGS_HOMESCREEN_IMAGE_SETTINGS","PNG or JPG, 144 x 144 pixels","","","","","","",""
"TR_DEVICE_SETTINGS_HOMESCREEN_SELECT_FROM_GALLERY","Select from gallery","","","","","","",""
"TR_DEVICE_SETTINGS_HOMESCREEN_TITLE","Homescreen background","","","","","","",""
"TR_DEVICE_SETTINGS_HOMESCREEN_UPLOAD_IMAGE","Upload image","","","","","","",""
"TR_DEVICE_SETTINGS_PASSPHRASE_DESC","Passphrase encryption adds an extra custom word to your recovery seed. This allows you to access new wallets, each hidden behind a particular passphrase. Your old accounts will be accessible with an empty passphrase.","","","","","","",""
"TR_DEVICE_SETTINGS_PASSPHRASE_DESC_MORE","If you forget your passphrase, your wallet is lost for good. There is no way to recover your funds.","","","","","","",""
"TR_DEVICE_SETTINGS_PASSPHRASE_TITLE","Passphrase","","","","","","",""
"TR_DEVICE_SETTINGS_PIN_PROTECTION_DESC","Using PIN protection is highly recommended. PIN prevents unauthorized persons from stealing your funds even if they have physical access to your device.","","","","","","",""
"TR_DEVICE_SETTINGS_PIN_PROTECTION_TITLE","PIN protection","","","","","","",""
"TR_DEVICE_YOU_RECONNECTED_IS_DIFFERENT","Device you reconnected is different from the previous device. Connect the right one.","Text that indicates that user reconnected different device than he was working with before","","","","","",""
"TR_DID_YOU_PURCHASE","Please note, that device packaging including holograms have changed over time. You can check packaging details {TR_PACKAGING_LINK}. Also be sure you made your purchase from {TR_RESELLERS_LINK}. Otherwise, the device you are holding in your hands might be a counterfeit. Please {TR_CONTACT_OUR_SUPPORT_LINK}","Text to display when user is unhappy with his hologram.","","","","","",""
"TR_DISCONNECT_YOUR_DEVICE","Disconnect your device","Prompt to disconnect device.","","","","","",""
"TR_DISCONNECTED","Disconnected","Device status","","","","","",""
"TR_DOCUMENTATION","documentation","Link to trezor documentation (wiki)","","","","","",""
"TR_DONT_HAVE_A_TREZOR","Don't have a Trezor? {getOne}","","","","","","",""
"TR_DONT_UPGRADE_BRIDGE","No, I don't want to upgrade Bridge now","","","","","","",""
"TR_DOUBLE_CLICK_IT_TO_RUN_INSTALLER","Double click it to run installer","Instruction for installing Trezor Bridge","","","","","",""
"TR_DOWNLOAD","Download","Download button","","","","","",""
"TR_DOWNLOAD_LATEST_BRIDGE","Download latest Bridge {version}","","","","","","",""
"TR_EAST","East","","","","","","",""
"TR_ENABLE_NETWORK_BUTTON","Find my {networkName} accounts","","","","","","",""
"TR_ENTER_EXISTING_PASSPHRASE","Enter existing passphrase to access existing hidden Wallet. Or enter new passphrase to create a new hidden Wallet.","","","","","","",""
"TR_ENTER_PASSPHRASE","Enter passphrase","","","","","","",""
"TR_ENTER_PASSPHRASE_ON_DEVICE","Enter passphrase on device","","","","","","",""
"TR_ENTER_PASSPHRASE_ON_DEVICE_LABEL","Enter passphrase on ""{deviceLabel}"" device.","","","","","","",""
"TR_ENTER_PIN","Enter PIN","Button. Submit PIN","","","","","",""
"TR_ENTER_PIN_HEADING","Enter PIN","","","","","","",""
"TR_ENTER_PIN_TEXT","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","","","","","","",""
"TR_ENTER_SEED_WORDS_INSTRUCTION","Enter words from your seed in order displayed on your device.","User is instructed to enter words from seed (backup) into the form in browser","","","","","",""
"TR_ENTERED_PIN_NOT_CORRECT","Entered PIN for ""{deviceLabel}"" is not correct","","","","","","",""
"TR_ESTIMATED_TIME","Estimated time","","","","","","",""
"TR_ETH_DATA_NOT_HEX","Data is not hex","","","","","","",""
"TR_ETH_GAS_LIMIT_NOT_NUMBER","Gas limit is not a number","","","","","","",""
"TR_ETH_GAS_PRICE_NOT_NUMBER","Gas price is not a number","","","","","","",""
"TR_EXCHANGE_RATE","Exchange rate","","","","","","",""
"TR_FAILED_BACKUP","Backup failed. This is serious.","","","","","","",""
"TR_FEE","Fee","Label in Send form","","","","","",""
"TR_FIAT_RATES_ARE_NOT_CURRENTLY","Fiat rates are not currently available.","","","","","","",""
"TR_FINAL_HEADING","Good job! All done","Heading in newsletter step","","","","","",""
"TR_FINAL_SUBHEADING","You did it! Not only your Trezor is initialized and ready but you also increased your security level above the average user by going through all security steps. Good job!","","","","","","",""
"TR_FIND_OUT_MORE_INFO","Find out more info","","","","","","",""
"TR_FINISH_ADVANCED_SECURITY","Finish advanced security","","","","","","",""
"TR_FIRMWARE_HEADING","Firmware installation","Heading on firmware page","","","","","",""
"TR_FIRMWARE_INSTALLED","Perfect. The newest firmware is installed. Time to continue","Message to display in case firmware is installed","","","","","",""
"TR_FIRMWARE_INSTALLED_TEXT","This device has already installed firmware version: {version}","Text to display in case device has firmware installed but it is outdated","","","","","",""
"TR_FIRMWARE_SUBHEADING","Your Trezor is shipped without firmware installed to ensure that you can get started with the latest features right away. The authenticity of the installed firmware is always checked during device start. If the firmware is not correctly signed by SatoshiLabs, your Trezor will display a warning.","Main text on firmware page for devices without firmware.","","","","","",""
"TR_FIRMWARE_VERSION","Firmware version","","","","","","",""
"TR_FIRST_PIN_ENTERED","Good. You entered a new pin. But to make sure you did not make mistake, please enter it again. Look at your device now, numbers are now different.","Text describing what happens after user enters PIN for the first time.","","","","","",""
"TR_FIRST_SEEN","First Seen","","","","","","",""
"TR_FOR_EASIER_AND_SAFER_INPUT","For easier and safer input you can scan recipient’s address from a QR code using your computer camera.","","","","","","",""
"TR_FOUND_OK_DEVICE","Found an empty device, yay! You can continue now.","Case when device was connected and it is in expected state (not initialized)","","","","","",""
"TR_GATHERING_INFO","Gathering information, please wait...","","","","","","",""
"TR_GENERAL","General","Category in Settings","","","","","",""
